四字熟語,読み,意味,漢検配当級
寒山拾得,かんざんじっとく,中国の唐の時代の二人の高僧で、文殊菩薩と普賢菩薩の生まれ変わりとされている、寒山と拾得のこと。 二人とも奇行が多く、詩人として有名で、禅画の画題としてよく使われる。,1級
干将莫邪,かんしょうばくや,古代中国にあったとされる名剣の名前。 「干将」は中国の春秋時代の呉の国の刀工の名前。 「莫邪」はその刀工の妻の名前。 干将は呉の王に剣を作るように言われ、剣を作り始めたが、上手くいかなかった。 炉に妻の髪と爪を入れてみると、二振りの名剣が完成して、その剣に「干将」と「莫邪」という名 づけて献上したという故事から。 「干将莫耶」とも書く。,1級
管中窺豹,かんちゅうきひょう,見識が非常に狭いことのたとえ。 管を通して動物の豹を見ても、一つの斑文しか見ることが出来ず、全体はわからないという意味から。 「管中より豹を窺う」とも読む。,1級
汗馬之労,かんばのろう,物事を成功させるために、苦労しながらあちこち駆け回ること。 「汗馬」は馬に汗をかかせるということから、戦場で功績を得るために駆け巡るということ。,1級
鎧袖一触,がいしゅういっしょく,相手を苦もなく打ち負かすことのたとえ。 「鎧袖」は鎧の袖、「一触」は少し触れること。 源為朝が自分の鎧の袖が相手に少しでも触れれば、相手は自ら倒れるだろうと豪語した故事から。,1級
蓋世之才,がいせいのさい,やる気に満ちていて、世を覆い尽くすほどの優れた才能を持っている人のこと。 「蓋世」は世を覆い尽くすこと。 「才」は優れた才能のこと。,1級
咳唾成珠,がいだせいしゅ,一つ一つの言葉に敬意を払われるほど、権力や勢力が盛んな様子。 または、一つ一つの言葉がとても美しく、すぐれた詩文の才能を持っている様子。 「咳唾」は咳と唾。または、他人の言葉を敬っていう語。 「成珠」は珠玉になること。 口から出る咳や唾が珠玉になるという意味から。 「咳唾珠を成す」とも読む。,1級
街談巷語,がいだんこうご,世間のうわさ話のこと。 「街談」と「巷語」はどちらもうわさ話のこと。 同じ意味の言葉を重ねて強調した語。,1級
画虎類狗,がこるいく,才能のない者が、すぐれているものの真似をしても、見苦しい結果にしかならないということのたとえ。 虎の絵を描いても、犬にしか見えないということから。 後漢の将軍の馬援が、豪傑の杜季良の真似をしていた兄の子を手紙で戒めたという故事から。 「虎を画いて狗に類す」とも読む。,1級
臥薪嘗胆,がしんしょうたん,目的を果たすために、苦難に耐えて機会を待つこと。 「臥薪」は固い薪の上で寝ること。 「嘗胆」は苦い肝をなめること。 春秋時代、呉王の夫差は固い薪の上で寝ることで、父親の敵である越王の勾践への恨みを忘れないようにし、ついには会稽山の戦いで勝利した。 その一方で、会稽山の戦いで敗北した勾践は、寝室に苦い肝を置き目覚める度にそれをなめることで敗北の恥を思い返し、ついには夫差を滅ぼしたという故事から。,1級
瓦釜雷鳴,がふらいめい,能力のあるものが高い地位につかず、能力のないものが高い地位について威張り散らすことのたとえ。 「瓦釜」は素焼きの釜のことで、人格の低い人のたとえ。 素焼きの安物の釜でものを煮ると、非常に大きな音がするということから。,1級
臥竜鳳雛,がりょうほうすう,才能はあっても、機会がないために才能を発揮できない人のこと。 または、才能を発揮する機会がなく、世間に知られていない英雄や賢者のこと。 「臥竜」は寝ている竜。 「鳳雛」は中国の伝説上の鳥、鳳凰の雛。 どちらもまだ知られていない英雄や賢者、または、将来に期待されている若者のたとえとしても使われる。 中国の三国時代、有能な人材を探していた劉備に、司馬徽が諸葛亮を臥竜に、ホウ統を鳳雛にたとえてすすめたという故事から。,1級
餓狼之口,がろうのくち,強欲で残忍な性質の人のたとえ。 または、この上なく危険な状況。 ひどく腹を空かせた狼の口の中という意味から。,1級
含飴弄孫,がんいろうそん,年老いて仕事を止めた後の気楽な生活のこと。 飴を食べながら孫と遊ぶという意味から。 「飴を含んで孫を弄ぶ」とも読む。,1級
含沙射影,がんしゃせきえい,陰険な方法で人を害すること。 「含沙」は水の中にいる虫のいさごむしのこと。 いさごむしが人の影に砂を吐くと、影に砂をかけられた人は高熱が出て死んでしまうとされていることから。 「含沙影を射る」とも読む。,1級
眼中之釘,がんちゅうのくぎ,自分に害を与えるもののたとえ。 または、邪魔になる人や物のたとえ。 中国の五大時代の趙在礼の悪政に苦しんだ人々は、趙在礼が転任することになり、目の中の釘が抜けたようだと喜んだという故事から。 「眼中之丁」とも書く。,1級
機械之心,きかいのこころ,「機械」は巧妙な仕組みの器具のことから、たくらみや偽り、たくらみ偽る心のこと。 または、策略をめぐらす考え。,1級
規矩準縄,きくじゅんじょう,物事や行動をおこすときに基準や標準になるもののこと。 「規」は円を描くときに使うコンパス。 「矩」は長さを測るための指矩のこと。 「準」は水平を測るための水準器。 「縄」は直線を引くための墨縄のこと。,1級
